id,actual_response,actual_type,actual_activity,is_correct_prediction
480,Y,praise,water intake,True
481,Y,suggestion,water intake,True
482,N,suggestion,portion control,True
483,Y,suggestion,water intake,True
484,Y,suggestion,water intake,True
485,Y,praise,water intake,True
486,Y,praise,water intake,True
487,Y,praise,water intake,True
488,Y,praise,water intake,True
489,Y,praise,water intake,True
490,Y,praise,water intake,True
491,Y,suggestion,water intake,True
492,Y,suggestion,water intake,True
493,N,suggestion,portion control,True
494,N,suggestion,portion control,True
495,Y,suggestion,water intake,True
496,Y,praise,water intake,True
497,Y,praise,water intake,True
498,N,suggestion,portion control,True
499,Y,suggestion,water intake,True
500,Y,praise,water intake,True
501,Y,suggestion,water intake,True
502,Y,praise,water intake,True
503,N,suggestion,portion control,True
504,N,reward,healthy eating,True
505,Y,praise,water intake,True
506,Y,praise,water intake,True
507,Y,suggestion,water intake,True
508,Y,praise,water intake,True
509,Y,praise,water intake,True
510,Y,suggestion,water intake,True
511,Y,suggestion,water intake,True
512,Y,praise,water intake,True
513,Y,praise,water intake,True
514,N,reward,healthy eating,True
515,Y,praise,water intake,True
516,Y,praise,water intake,True
517,N,suggestion,portion control,True
518,Y,suggestion,water intake,True
519,Y,suggestion,water intake,True
520,Y,praise,water intake,True
521,Y,suggestion,water intake,True
522,Y,praise,water intake,True
523,Y,suggestion,meal planning,True
524,Y,suggestion,water intake,True
525,Y,suggestion,water intake,True
526,Y,praise,water intake,True
527,Y,suggestion,water intake,True
528,Y,praise,water intake,True
529,Y,suggestion,water intake,True
530,Y,suggestion,water intake,True
531,Y,praise,water intake,True
532,Y,suggestion,water intake,True
533,Y,praise,water intake,True
534,Y,suggestion,water intake,True
535,Y,praise,water intake,True
536,Y,suggestion,water intake,True
537,Y,praise,water intake,True
538,Y,suggestion,water intake,True
539,Y,praise,water intake,True
540,Y,praise,water intake,True
541,Y,suggestion,water intake,True
542,Y,praise,water intake,True
543,Y,suggestion,water intake,True
544,Y,praise,water intake,True
545,Y,praise,water intake,True
546,Y,suggestion,water intake,True
547,Y,suggestion,water intake,True
548,Y,praise,water intake,True
549,Y,praise,water intake,True
550,Y,suggestion,water intake,True
551,Y,praise,water intake,True
552,Y,praise,water intake,True
553,N,suggestion,portion control,True
554,Y,praise,water intake,True
555,N,suggestion,portion control,True
556,Y,praise,water intake,True
557,Y,praise,water intake,True
558,Y,praise,water intake,True
559,Y,suggestion,water intake,True
560,Y,praise,water intake,True
561,N,reward,healthy eating,True
562,Y,suggestion,water intake,True
563,Y,suggestion,water intake,True
564,Y,suggestion,water intake,True
565,Y,praise,water intake,True
566,Y,suggestion,water intake,True
567,Y,praise,water intake,True
568,Y,praise,water intake,True
569,Y,praise,water intake,True
570,N,suggestion,portion control,True
571,Y,suggestion,water intake,True
572,Y,suggestion,water intake,True
573,Y,praise,water intake,True
574,N,suggestion,portion control,True
575,Y,suggestion,water intake,True
576,Y,praise,water intake,True
577,Y,praise,water intake,True
578,Y,praise,water intake,True
579,N,suggestion,portion control,True
580,Y,praise,water intake,True
581,Y,suggestion,water intake,True
582,Y,suggestion,water intake,True
583,Y,praise,water intake,True
584,N,suggestion,portion control,True
585,Y,praise,water intake,True
586,Y,suggestion,water intake,True
587,Y,suggestion,water intake,True
588,Y,praise,water intake,True
589,Y,suggestion,water intake,True
590,Y,suggestion,water intake,True
591,Y,praise,water intake,True
592,Y,suggestion,water intake,True
593,Y,praise,water intake,True
594,Y,praise,water intake,True
595,N,suggestion,portion control,True
596,Y,praise,water intake,True
597,N,suggestion,portion control,True
598,Y,suggestion,water intake,True
599,N,suggestion,portion control,True
600,Y,suggestion,water intake,True
601,Y,suggestion,water intake,True
602,Y,suggestion,water intake,True
603,Y,suggestion,water intake,True
604,Y,suggestion,water intake,True
605,Y,suggestion,water intake,True
606,Y,suggestion,water intake,True
607,Y,praise,water intake,True
608,Y,suggestion,water intake,True
609,Y,praise,water intake,True
610,N,suggestion,portion control,True
611,Y,suggestion,water intake,True
612,Y,suggestion,water intake,True
613,Y,suggestion,water intake,True
614,Y,praise,water intake,True
615,N,suggestion,portion control,True
616,Y,praise,water intake,True
617,Y,suggestion,water intake,True
618,Y,suggestion,water intake,True
619,Y,suggestion,water intake,True
620,Y,praise,water intake,True
621,Y,praise,water intake,True
622,Y,praise,water intake,True
623,N,suggestion,portion control,True
624,Y,suggestion,water intake,True
625,Y,praise,water intake,True
626,Y,praise,water intake,True
627,Y,suggestion,water intake,True
628,Y,suggestion,water intake,True
629,Y,praise,water intake,True
630,Y,suggestion,water intake,True
631,Y,praise,water intake,True
632,Y,praise,water intake,True
633,Y,praise,water intake,True
634,Y,suggestion,water intake,True
635,Y,praise,water intake,True
636,Y,praise,water intake,True
637,Y,suggestion,water intake,True
638,Y,praise,water intake,True
639,Y,suggestion,water intake,True
640,N,reward,healthy eating,True
641,Y,praise,water intake,True
642,Y,praise,water intake,True
643,Y,suggestion,water intake,True
644,Y,suggestion,water intake,True
645,Y,praise,water intake,True
646,Y,suggestion,water intake,True
647,Y,praise,water intake,True
648,Y,suggestion,meal planning,True
649,Y,suggestion,water intake,True
650,Y,praise,water intake,True
651,Y,praise,water intake,True
652,Y,suggestion,water intake,True
653,Y,praise,water intake,True
654,Y,suggestion,water intake,True
655,Y,suggestion,water intake,True
656,Y,suggestion,water intake,True
657,N,suggestion,portion control,True
658,Y,suggestion,water intake,True
659,Y,praise,water intake,True
660,Y,praise,water intake,True
661,Y,praise,water intake,True
662,Y,praise,water intake,True
663,N,suggestion,portion control,True
664,Y,suggestion,water intake,True
665,Y,suggestion,water intake,True
666,Y,praise,water intake,True
667,N,suggestion,portion control,True
668,Y,suggestion,water intake,True
669,Y,suggestion,meal planning,True
670,Y,praise,water intake,True
671,Y,praise,water intake,True
672,Y,suggestion,water intake,True
673,Y,suggestion,water intake,True
674,Y,suggestion,water intake,True
675,Y,praise,water intake,True
676,Y,suggestion,water intake,True
677,Y,praise,water intake,True
678,Y,praise,water intake,True
679,Y,praise,water intake,True
680,Y,praise,water intake,True
681,Y,suggestion,water intake,True
682,Y,praise,water intake,True
683,Y,suggestion,water intake,True
684,Y,suggestion,water intake,True
685,Y,suggestion,water intake,True
686,Y,praise,water intake,True
687,Y,suggestion,water intake,True
688,Y,praise,water intake,True
689,Y,suggestion,water intake,True
690,Y,praise,water intake,True
691,N,suggestion,portion control,True
692,Y,suggestion,water intake,True
693,Y,praise,water intake,True
694,N,suggestion,portion control,True
695,Y,praise,water intake,True
696,Y,suggestion,water intake,True
697,Y,suggestion,water intake,True
698,Y,suggestion,water intake,True
699,Y,praise,water intake,True
700,N,reward,healthy eating,True
701,Y,praise,water intake,True
702,Y,praise,water intake,True
703,Y,praise,water intake,True
704,Y,praise,water intake,True
705,N,suggestion,portion control,True
706,Y,suggestion,water intake,True
707,Y,praise,water intake,True
708,Y,suggestion,water intake,True
709,Y,praise,water intake,True
710,N,suggestion,portion control,True
711,Y,praise,water intake,True
712,Y,praise,water intake,True
713,Y,praise,water intake,True
714,Y,suggestion,meal planning,True
715,Y,suggestion,water intake,True
716,Y,praise,water intake,True
717,Y,suggestion,water intake,True
718,Y,praise,water intake,True
719,Y,suggestion,water intake,True
720,Y,praise,water intake,True
721,N,suggestion,portion control,True
722,Y,praise,water intake,True
723,Y,suggestion,water intake,True
724,Y,suggestion,water intake,True
725,Y,praise,water intake,True
726,N,suggestion,portion control,True
727,Y,praise,water intake,True
728,Y,praise,water intake,True
729,Y,suggestion,water intake,True
730,Y,praise,water intake,True
731,Y,suggestion,water intake,True
732,Y,praise,water intake,True
733,Y,suggestion,water intake,True
734,Y,praise,water intake,True
735,Y,praise,water intake,True
736,Y,suggestion,water intake,True
737,N,suggestion,portion control,True
738,N,reward,healthy eating,True
739,Y,suggestion,water intake,True
740,Y,praise,water intake,True
741,Y,suggestion,water intake,True
742,Y,praise,water intake,True
743,Y,suggestion,water intake,True
744,Y,suggestion,water intake,True
745,Y,suggestion,water intake,True
746,Y,suggestion,water intake,True
747,Y,praise,water intake,True
748,Y,suggestion,water intake,True
749,Y,praise,water intake,True
750,Y,suggestion,water intake,True
751,Y,suggestion,water intake,True
752,Y,suggestion,water intake,True
753,Y,suggestion,water intake,True
754,Y,suggestion,water intake,True
755,Y,praise,water intake,True
756,Y,suggestion,water intake,True
757,Y,suggestion,water intake,True
758,Y,praise,water intake,True
759,Y,suggestion,water intake,True
760,Y,praise,water intake,True
761,Y,suggestion,water intake,True
762,Y,suggestion,water intake,True
763,Y,suggestion,water intake,True
764,Y,praise,water intake,True
765,Y,praise,water intake,True
766,Y,praise,water intake,True
767,Y,praise,water intake,True
768,Y,praise,water intake,True
769,Y,praise,water intake,True
770,Y,praise,water intake,True
771,Y,praise,water intake,True
772,N,suggestion,portion control,True
773,Y,suggestion,water intake,True
774,Y,praise,water intake,True
775,Y,suggestion,water intake,True
776,Y,suggestion,water intake,True
777,Y,praise,water intake,True
778,Y,praise,water intake,True
779,Y,suggestion,water intake,True
780,Y,suggestion,water intake,True
781,Y,praise,water intake,True
782,Y,praise,water intake,True
783,Y,suggestion,water intake,True
784,Y,praise,water intake,True
785,Y,praise,water intake,True
786,Y,praise,water intake,True
787,Y,praise,water intake,True
788,Y,praise,water intake,True
789,Y,praise,water intake,True
790,Y,praise,water intake,True
791,Y,praise,water intake,True
792,Y,praise,water intake,True
793,Y,suggestion,water intake,True
794,Y,suggestion,water intake,True
795,Y,suggestion,water intake,True
796,Y,suggestion,water intake,True
797,Y,praise,water intake,True
798,Y,praise,water intake,True
799,Y,praise,water intake,True
800,Y,suggestion,water intake,True
801,Y,praise,water intake,True
802,Y,suggestion,water intake,True
803,Y,suggestion,water intake,True
804,Y,praise,water intake,True
805,Y,suggestion,meal planning,True
806,Y,praise,water intake,True
807,Y,suggestion,water intake,True
808,Y,praise,water intake,True
809,Y,suggestion,water intake,True
810,Y,praise,water intake,True
811,Y,suggestion,water intake,True
812,Y,praise,water intake,True
813,N,suggestion,portion control,True
814,Y,praise,water intake,True
815,N,suggestion,portion control,True
816,Y,praise,water intake,True
817,Y,praise,water intake,True
818,Y,suggestion,meal planning,True
819,Y,praise,water intake,True
820,Y,praise,water intake,True
821,Y,praise,water intake,True
822,Y,suggestion,water intake,True
823,Y,praise,water intake,True
824,Y,suggestion,water intake,True
825,Y,praise,water intake,True
826,Y,suggestion,water intake,True
827,Y,praise,water intake,True
828,Y,suggestion,water intake,True
829,Y,praise,water intake,True
830,Y,praise,water intake,True
831,Y,praise,water intake,True
832,Y,praise,water intake,True
833,N,suggestion,portion control,True
834,Y,suggestion,water intake,True
835,N,suggestion,portion control,True
836,Y,praise,water intake,True
837,Y,praise,water intake,True
838,Y,suggestion,water intake,True
839,Y,praise,water intake,True
840,Y,suggestion,water intake,True
841,Y,praise,water intake,True
842,Y,suggestion,water intake,True
843,Y,suggestion,water intake,True
844,Y,suggestion,water intake,True
845,Y,praise,water intake,True
846,Y,suggestion,water intake,True
847,Y,suggestion,water intake,True
848,Y,praise,water intake,True
849,Y,praise,water intake,True
850,N,suggestion,portion control,True
851,Y,praise,water intake,True
852,Y,suggestion,water intake,True
853,Y,praise,water intake,True
854,Y,suggestion,water intake,True
855,Y,suggestion,water intake,True
856,Y,praise,water intake,True
857,Y,praise,water intake,True
858,Y,praise,water intake,True
859,Y,suggestion,water intake,True
860,Y,praise,water intake,True
861,N,suggestion,portion control,True
862,Y,praise,water intake,True
863,N,reward,healthy eating,True
864,Y,praise,water intake,True
865,Y,suggestion,water intake,True
866,Y,suggestion,water intake,True
867,Y,praise,water intake,True
868,Y,praise,water intake,True
869,N,suggestion,portion control,True
870,Y,praise,water intake,True
871,Y,suggestion,water intake,True
872,Y,praise,water intake,True
873,Y,praise,water intake,True
874,Y,suggestion,water intake,True
875,Y,praise,water intake,True
876,Y,praise,water intake,True
877,Y,suggestion,water intake,True
878,Y,praise,water intake,True
879,Y,praise,water intake,True
880,Y,praise,water intake,True
881,Y,suggestion,water intake,True
882,Y,praise,water intake,True
883,Y,praise,water intake,True
884,Y,praise,water intake,True
885,Y,suggestion,water intake,True
886,Y,suggestion,water intake,True
887,Y,praise,water intake,True
888,Y,suggestion,water intake,True
889,Y,praise,water intake,True
890,N,suggestion,portion control,True
891,Y,suggestion,water intake,True
892,Y,praise,water intake,True
893,Y,praise,water intake,True
894,Y,suggestion,water intake,True
895,Y,suggestion,water intake,True
896,Y,suggestion,water intake,True
897,Y,praise,water intake,True
898,Y,praise,water intake,True
899,Y,suggestion,water intake,True
900,Y,praise,water intake,True
901,Y,suggestion,water intake,True
902,Y,praise,water intake,True
903,Y,praise,water intake,True
904,Y,praise,water intake,True
905,Y,suggestion,water intake,True
906,Y,praise,water intake,True
907,Y,praise,water intake,True
908,Y,praise,water intake,True
909,Y,praise,water intake,True
910,Y,suggestion,water intake,True
911,Y,praise,water intake,True
912,Y,suggestion,water intake,True
913,Y,suggestion,water intake,True
914,Y,suggestion,water intake,True
915,Y,praise,water intake,True
916,Y,praise,water intake,True
917,Y,praise,water intake,True
918,Y,suggestion,water intake,True
919,Y,praise,water intake,True
920,Y,praise,water intake,True
921,Y,praise,water intake,True
922,Y,suggestion,water intake,True
923,Y,praise,water intake,True
924,Y,suggestion,water intake,True
925,Y,praise,water intake,True
926,Y,suggestion,water intake,True
927,Y,praise,water intake,True
928,Y,praise,water intake,True
929,Y,suggestion,water intake,True
930,Y,praise,water intake,True
931,Y,reward,meal planning,True
932,Y,praise,water intake,True
933,Y,praise,water intake,True
934,Y,praise,water intake,True
935,Y,suggestion,water intake,True
936,Y,praise,water intake,True
937,N,suggestion,portion control,True
938,Y,suggestion,water intake,True
939,Y,suggestion,water intake,True
940,Y,praise,water intake,True
941,N,reward,healthy eating,True
942,Y,suggestion,water intake,True
943,Y,praise,water intake,True
944,Y,praise,water intake,True
945,N,suggestion,portion control,True
946,Y,praise,water intake,True
947,Y,suggestion,water intake,True
948,Y,praise,water intake,True
949,Y,suggestion,water intake,True
950,N,suggestion,portion control,True
951,N,reward,healthy eating,True
952,Y,suggestion,water intake,True
953,N,reward,healthy eating,True
954,Y,praise,water intake,True
955,Y,suggestion,water intake,True
956,Y,suggestion,water intake,True
957,Y,suggestion,water intake,True
958,Y,suggestion,water intake,True
959,Y,suggestion,water intake,True
960,Y,praise,water intake,True
961,Y,suggestion,water intake,True
962,Y,suggestion,water intake,True
963,Y,praise,water intake,True
964,Y,suggestion,water intake,True
965,Y,suggestion,water intake,True
966,Y,praise,water intake,True
967,Y,praise,water intake,True
968,Y,suggestion,water intake,True
969,Y,suggestion,water intake,True
970,Y,suggestion,water intake,True
971,Y,praise,water intake,True
972,N,suggestion,portion control,True
973,Y,suggestion,water intake,True
974,Y,praise,water intake,True
975,Y,praise,water intake,True
976,Y,suggestion,water intake,True
977,Y,suggestion,water intake,True
978,Y,praise,water intake,True
979,N,suggestion,portion control,True
980,Y,suggestion,water intake,True
981,Y,praise,water intake,True
982,Y,suggestion,water intake,True
983,Y,praise,water intake,True
984,Y,praise,water intake,True
985,Y,suggestion,water intake,True
986,Y,praise,water intake,True
987,Y,suggestion,water intake,True
988,Y,suggestion,water intake,True
989,Y,suggestion,water intake,True
990,Y,suggestion,water intake,True
991,Y,suggestion,water intake,True
992,Y,praise,water intake,True
993,N,suggestion,portion control,True
994,Y,suggestion,water intake,True
995,Y,suggestion,water intake,True
996,Y,praise,water intake,True
997,Y,suggestion,water intake,True
998,Y,suggestion,water intake,True
999,Y,suggestion,water intake,True
1000,Y,suggestion,water intake,True
1001,N,suggestion,portion control,True
1002,Y,praise,water intake,True
1003,Y,praise,water intake,True
1004,Y,praise,water intake,True
1005,Y,suggestion,water intake,True
1006,Y,praise,water intake,True
1007,Y,suggestion,water intake,True
1008,Y,suggestion,water intake,True
1009,Y,suggestion,water intake,True
1010,Y,suggestion,water intake,True
1011,Y,suggestion,water intake,True
1012,N,suggestion,portion control,True
1013,Y,suggestion,water intake,True
1014,Y,praise,water intake,True
1015,Y,praise,water intake,True
1016,Y,suggestion,water intake,True
1017,Y,praise,water intake,True
1018,Y,suggestion,water intake,True
1019,Y,praise,water intake,True
1020,Y,praise,water intake,True
1021,Y,praise,water intake,True
1022,Y,praise,water intake,True
1023,Y,suggestion,water intake,True
1024,Y,praise,water intake,True
1025,Y,praise,water intake,True
1026,Y,praise,water intake,True
1027,Y,praise,water intake,True
1028,Y,suggestion,water intake,True
1029,Y,suggestion,water intake,True
1030,Y,praise,water intake,True
1031,Y,praise,water intake,True
1032,Y,suggestion,water intake,True
1033,Y,suggestion,water intake,True
1034,Y,suggestion,water intake,True
1035,Y,praise,water intake,True
1036,Y,praise,water intake,True
1037,Y,suggestion,water intake,True
1038,Y,praise,water intake,True
1039,Y,praise,water intake,True
1040,Y,suggestion,water intake,True
1041,Y,suggestion,water intake,True
1042,Y,suggestion,water intake,True
1043,Y,praise,water intake,True
1044,Y,suggestion,water intake,True
1045,Y,praise,water intake,True
1046,Y,suggestion,water intake,True
1047,Y,praise,water intake,True
1048,Y,suggestion,water intake,True
1049,Y,suggestion,water intake,True
1050,Y,praise,water intake,True
1051,N,suggestion,portion control,True
1052,Y,praise,water intake,True
1053,Y,suggestion,meal planning,True
1054,Y,praise,water intake,True
1055,Y,suggestion,water intake,True
1056,Y,praise,water intake,True
1057,N,suggestion,portion control,True
1058,Y,suggestion,water intake,True
1059,Y,suggestion,water intake,True
1060,Y,suggestion,water intake,True
1061,Y,suggestion,water intake,True
1062,Y,suggestion,water intake,True
1063,Y,praise,water intake,True
1064,Y,suggestion,water intake,True
1065,Y,praise,water intake,True
1066,Y,praise,water intake,True
1067,N,suggestion,portion control,True
1068,N,reward,healthy eating,True
1069,Y,suggestion,water intake,True
1070,N,suggestion,portion control,True
1071,Y,praise,water intake,True
1072,Y,praise,water intake,True
1073,Y,suggestion,water intake,True
1074,Y,suggestion,water intake,True
1075,Y,suggestion,water intake,True
1076,Y,suggestion,water intake,True
1077,Y,praise,water intake,True
1078,Y,suggestion,water intake,True
1079,Y,suggestion,water intake,True
1080,Y,suggestion,water intake,True
1081,Y,praise,water intake,True
1082,Y,suggestion,water intake,True
1083,Y,suggestion,water intake,True
1084,Y,praise,water intake,True
1085,Y,praise,water intake,True
1086,Y,suggestion,water intake,True
1087,Y,praise,water intake,True
1088,Y,suggestion,water intake,True
1089,Y,praise,water intake,True
1090,Y,suggestion,water intake,True
1091,Y,suggestion,water intake,True
1092,Y,suggestion,water intake,True
1093,Y,praise,water intake,True
1094,Y,suggestion,water intake,True
1095,Y,praise,water intake,True
1096,N,reward,healthy eating,True
1097,Y,suggestion,water intake,True
1098,Y,suggestion,water intake,True
1099,Y,suggestion,water intake,True
1100,Y,suggestion,water intake,True
1101,Y,praise,water intake,True
1102,Y,suggestion,water intake,True
1103,Y,praise,water intake,True
1104,Y,praise,water intake,True
1105,Y,praise,water intake,True
1106,Y,suggestion,water intake,True
1107,Y,praise,water intake,True
1108,Y,praise,water intake,True
1109,Y,suggestion,water intake,True
1110,Y,praise,water intake,True
1111,Y,praise,water intake,True
1112,Y,suggestion,water intake,True
1113,Y,praise,water intake,True
1114,Y,praise,water intake,True
1115,Y,suggestion,water intake,True
1116,Y,praise,water intake,True
1117,Y,praise,water intake,True
1118,Y,suggestion,water intake,True
1119,Y,suggestion,water intake,True
1120,Y,suggestion,water intake,True
1121,Y,suggestion,water intake,True
1122,Y,praise,water intake,True
1123,Y,praise,water intake,True
1124,Y,suggestion,water intake,True
1125,Y,praise,water intake,True
1126,Y,praise,water intake,True
1127,Y,praise,water intake,True
1128,Y,suggestion,water intake,True
1129,Y,suggestion,water intake,True
1130,Y,praise,water intake,True
1131,Y,praise,water intake,True
1132,N,suggestion,portion control,True
1133,Y,praise,water intake,True
1134,Y,suggestion,water intake,True
1135,Y,praise,water intake,True
1136,Y,suggestion,water intake,True
1137,Y,praise,water intake,True
1138,N,suggestion,portion control,True
1139,Y,praise,water intake,True
1140,Y,praise,water intake,True
1141,Y,praise,water intake,True
1142,Y,suggestion,water intake,True
1143,Y,suggestion,water intake,True
1144,Y,suggestion,water intake,True
1145,Y,suggestion,water intake,True
1146,Y,praise,water intake,True
1147,Y,suggestion,water intake,True
1148,Y,suggestion,water intake,True
1149,Y,suggestion,water intake,True
1150,Y,praise,water intake,True
1151,Y,praise,water intake,True
1152,Y,suggestion,water intake,True
1153,Y,praise,water intake,True
1154,Y,praise,water intake,True
1155,Y,praise,water intake,True
1156,Y,praise,water intake,True
1157,Y,suggestion,water intake,True
1158,Y,praise,water intake,True
1159,Y,praise,water intake,True
1160,Y,suggestion,water intake,True
1161,N,reward,healthy eating,True
1162,Y,praise,water intake,True
1163,Y,suggestion,water intake,True
1164,Y,suggestion,water intake,True
1165,Y,suggestion,water intake,True
1166,Y,praise,water intake,True
1167,Y,suggestion,water intake,True
1168,Y,praise,water intake,True
1169,Y,suggestion,water intake,True
1170,Y,praise,water intake,True
1171,Y,suggestion,water intake,True
1172,Y,praise,water intake,True
1173,Y,praise,water intake,True
1174,Y,suggestion,water intake,True
1175,Y,suggestion,water intake,True
1176,Y,suggestion,water intake,True
1177,Y,praise,water intake,True
1178,Y,suggestion,water intake,True
1179,Y,praise,water intake,True
1180,Y,suggestion,water intake,True
1181,Y,praise,water intake,True
1182,Y,suggestion,water intake,True
1183,Y,suggestion,water intake,True
1184,Y,praise,water intake,True
1185,Y,praise,water intake,True
1186,N,reward,healthy eating,True
1187,Y,suggestion,water intake,True
1188,Y,praise,water intake,True
1189,Y,praise,water intake,True
1190,Y,praise,water intake,True
1191,Y,suggestion,water intake,True
1192,Y,suggestion,water intake,True
1193,Y,suggestion,water intake,True
1194,Y,suggestion,water intake,True
1195,Y,praise,water intake,True
1196,Y,suggestion,water intake,True
1197,Y,suggestion,water intake,True
1198,Y,praise,water intake,True
1199,Y,suggestion,water intake,True
1200,Y,suggestion,water intake,True
1201,Y,praise,water intake,True
1202,Y,praise,water intake,True
1203,N,suggestion,portion control,True
1204,Y,praise,water intake,True
1205,Y,praise,water intake,True
1206,Y,suggestion,water intake,True
1207,Y,suggestion,water intake,True
1208,Y,suggestion,water intake,True
1209,Y,praise,water intake,True
1210,Y,suggestion,water intake,True
1211,Y,suggestion,water intake,True
1212,N,suggestion,portion control,True
1213,Y,suggestion,water intake,True
1214,Y,praise,water intake,True
1215,Y,praise,water intake,True
1216,Y,praise,water intake,True
1217,Y,suggestion,water intake,True
1218,Y,praise,water intake,True
1219,Y,praise,water intake,True
1220,Y,praise,water intake,True
1221,Y,praise,water intake,True
1222,Y,praise,water intake,True
1223,Y,praise,water intake,True
1224,Y,praise,water intake,True
1225,Y,suggestion,water intake,True
1226,Y,suggestion,water intake,True
1227,Y,praise,water intake,True
1228,Y,suggestion,water intake,True
1229,Y,suggestion,water intake,True
1230,Y,suggestion,water intake,True
1231,Y,suggestion,water intake,True
1232,Y,praise,water intake,True
1233,Y,suggestion,water intake,True
1234,Y,suggestion,water intake,True
1235,Y,suggestion,water intake,True
1236,Y,praise,water intake,True
1237,Y,suggestion,water intake,True
1238,Y,praise,water intake,True
1239,Y,praise,water intake,True
1240,Y,praise,water intake,True
1241,Y,praise,water intake,True
1242,Y,praise,water intake,True
1243,Y,suggestion,water intake,True
1244,Y,suggestion,water intake,True
1245,Y,suggestion,water intake,True
1246,Y,praise,water intake,True
1247,Y,praise,water intake,True
1248,Y,suggestion,water intake,True
1249,Y,praise,water intake,True
1250,Y,suggestion,water intake,True
1251,Y,praise,water intake,True
1252,Y,praise,water intake,True
1253,Y,suggestion,water intake,True
1254,Y,praise,water intake,True
1255,Y,praise,water intake,True
1256,Y,praise,water intake,True
1257,Y,suggestion,water intake,True
1258,Y,praise,water intake,True
1259,Y,suggestion,water intake,True
1260,Y,suggestion,water intake,True
1261,Y,suggestion,water intake,True
1262,Y,praise,water intake,True
1263,Y,praise,water intake,True
1264,N,suggestion,portion control,True
1265,Y,suggestion,water intake,True
1266,Y,praise,water intake,True
1267,Y,praise,water intake,True
1268,Y,suggestion,water intake,True
1269,N,suggestion,portion control,True
1270,Y,praise,water intake,True
1271,Y,praise,water intake,True
1272,Y,suggestion,water intake,True
1273,Y,suggestion,water intake,True
1274,Y,praise,water intake,True
1275,Y,praise,water intake,True
1276,Y,suggestion,water intake,True
1277,Y,suggestion,water intake,True
1278,Y,suggestion,water intake,True
1279,Y,praise,water intake,True
1280,N,suggestion,portion control,True
1281,Y,praise,water intake,True
1282,Y,suggestion,water intake,True
1283,Y,praise,water intake,True
1284,Y,praise,water intake,True
1285,Y,suggestion,water intake,True
1286,Y,suggestion,water intake,True
1287,Y,suggestion,water intake,True
1288,Y,praise,water intake,True
1289,Y,suggestion,water intake,True
1290,Y,praise,water intake,True
1291,Y,suggestion,water intake,True
1292,Y,suggestion,water intake,True
1293,Y,praise,water intake,True
1294,Y,praise,water intake,True
1295,Y,praise,water intake,True
1296,Y,praise,water intake,True
1297,Y,praise,water intake,True
1298,Y,praise,water intake,True
1299,Y,suggestion,water intake,True
1300,N,reward,healthy eating,True
